,slug,#,name,symbol,marketcap,price,totalsupply,volume,change1h,change24h,change7d,more-options
133,delphy,"
134
",DPY,DPY,95028899.4941,2.37325,40041672.5984,2579200.0,0.71%,-2.81%,-6.67%,Add to Watchlist
134,scryinfo,"
135
",DDD,DDD,92819019.8925,0.309338,300056960.0,1766060.0,0.02%,-7.14%,-19.78%,Add to Watchlist
135,decentraland,"
136
",MANA,MANA,90564098.7587,0.0862399,1050141509.43,3771710.0,-0.70%,-5.47%,-29.50%,Add to Watchlist
136,bitcoindark,"
137
",BTCD,BTCD,89708030.1673,69.6025,"
1,288,862
",275908.0,0.02%,-5.83%,-12.87%,Add to Watchlist
137,high-performance-blockchain,"
138
",HPB,HPB,86534162.7537,2.91335,29702631.937,5826330.0,0.18%,-2.35%,-14.97%,Add to Watchlist
138,cindicator,"
139
",CND,CND,83975958.0692,0.0580756,1445976590.33,609228.0,-0.05%,-4.67%,-24.32%,Add to Watchlist
139,iht-real-estate-protocol,"
140
",IHT,IHT,83830134.5589,0.169975,493190966.665,11568800.0,1.36%,-5.34%,-23.87%,Add to Watchlist
140,iconomi,"
141
",ICN,ICN,83776737.0749,0.84489,99156975.5529,465687.0,-0.28%,-6.75%,-30.39%,Add to Watchlist
141,smartcash,"
142
",SMART,SMART,83113543.7936,0.0838387,991350579.072,79792.3,-0.82%,-5.17%,-25.57%,Add to Watchlist
142,time-new-bank,"
143
",TNB,TNB,81936823.2253,0.0346943,2361679677.22,13388600.0,-0.59%,-4.16%,-25.39%,Add to Watchlist
143,arcblock,"
144
",ABT,ABT,80396990.2096,0.86266,93196613.0452,11088300.0,-0.56%,-5.21%,-28.22%,Add to Watchlist
144,game,"
145
",GTC,GTC,79675708.1072,0.132032,603457556.556,4810460.0,-1.32%,-1.23%,-23.29%,Add to Watchlist
145,asch,"
146
",XAS,XAS,78218977.6977,0.837863,93355331.0,7092450.0,-0.30%,-5.35%,-25.45%,Add to Watchlist
146,enjin-coin,"
147
",ENJ,ENJ,78104102.1766,0.103286,756192535.064,1739240.0,-0.10%,-8.26%,-27.49%,Add to Watchlist
147,singularitynet,"
148
",AGI,AGI,77710790.7702,0.143996,539673260.161,1105450.0,0.47%,-4.56%,-9.35%,Add to Watchlist
148,credits,"
149
",CS,CS,77659140.1206,0.563878,137723302.063,2583990.0,0.65%,-1.62%,-22.69%,Add to Watchlist
149,aragon,"
150
",ANT,ANT,77556934.1584,2.75282,28173630.7345,218830.0,-0.05%,-6.84%,-29.76%,Add to Watchlist
150,vertcoin,"
151
",VTC,VTC,75816491.6028,1.70747,44402825.0,649264.0,-0.07%,-3.37%,-21.62%,Add to Watchlist
151,paypex,"
152
",PAYX,PAYX,75089624.5953,1.09734,68428768.29,1810.61,0.01%,-12.62%,-48.09%,Add to Watchlist
152,ruff,"
153
",RUFF,RUFF,74585050.32,0.0809124,921800000.0,6672560.0,0.35%,-2.92%,-21.94%,Add to Watchlist
153,sophiatx,"
154
",SPHTX,SPHTX,74406881.1104,0.387502,192016766.65,821321.0,0.38%,-5.33%,-28.27%,Add to Watchlist
154,boscoin,"
155
",BOS,BOS,73030554.8463,0.164028,445232245.996,248655.0,-2.90%,9.42%,-11.06%,Add to Watchlist
155,gnosis-gno,"
156
",GNO,GNO,72812805.456,65.9184,1104590.0,582228.0,-1.17%,-6.45%,-27.60%,Add to Watchlist
156,sonm,"
157
",SNM,SNM,72252630.0,0.200925,359600000.0,1031470.0,0.36%,-6.04%,-27.37%,Add to Watchlist
157,medibloc,"
158
",MED,MED,71518927.3742,0.0241098,2966384100.0,1090370.0,-0.35%,-3.48%,-15.92%,Add to Watchlist
158,digitalnote,"
159
",XDN,XDN,70246096.0249,0.0101705,6906847846.7,2054970.0,-0.82%,-3.65%,-21.39%,Add to Watchlist
159,particl,"
160
",PART,PART,69374652.2118,7.71919,8987296.88112,1381730.0,-8.07%,-20.44%,-37.61%,Add to Watchlist
160,lympo,"
161
",LYM,LYM,69113434.5966,0.0978635,706222796.003,6076940.0,0.36%,-4.97%,5.90%,Add to Watchlist
161,bluzelle,"
162
",BLZ,BLZ,69045232.8191,0.385882,178928358.46,4183170.0,-0.23%,-6.00%,-27.83%,Add to Watchlist
162,poa-network,"
163
",POA,POA,68786443.7422,0.335891,204787992.957,1640570.0,-0.35%,-6.32%,-35.35%,Add to Watchlist
163,dent,"
164
",DENT,DENT,67945084.9126,0.006401,10614760961.2,1949990.0,-0.87%,-7.15%,-28.95%,Add to Watchlist
164,ignis,"
165
",IGNIS,IGNIS,67907588.7023,0.0892178,761143950.0,1012990.0,-0.95%,-8.21%,-25.81%,Add to Watchlist
165,metal,"
166
",MTL,MTL,67673084.8878,2.79498,24212368.2058,7672530.0,0.52%,-4.02%,-26.37%,Add to Watchlist
166,groestlcoin,"
167
",GRS,GRS,66996099.0978,0.955285,70132053.8874,4444670.0,0.12%,-7.89%,-21.90%,Add to Watchlist
167,dynamic-trading-rights,"
168
",DTR,DTR,66365480.9108,0.0552101,1202053264.0,17117.6,0.02%,-0.97%,-13.72%,Add to Watchlist
168,smartmesh,"
169
",SMT,SMT,66113450.7896,0.0467657,1413716693.85,2047590.0,0.50%,-8.90%,-29.91%,Add to Watchlist
169,gamecredits,"
170
",GAME,GAME,66078788.3266,1.02678,64355352.0,57284.1,0.17%,-4.29%,-21.61%,Add to Watchlist
170,santiment,"
171
",SAN,SAN,65349127.4747,1.04291,62660370.957,687892.0,-0.10%,-4.34%,-20.49%,Add to Watchlist
171,sirin-labs-token,"
172
",SRN,SRN,64850906.4373,0.282873,229258029.0,2788680.0,-1.89%,-6.88%,-25.80%,Add to Watchlist
172,thekey,"
173
",TKY,TKY,63874940.8853,0.0138708,4604993287.0,998995.0,-0.38%,-5.49%,-13.96%,Add to Watchlist
173,raiden-network-token,"
174
",RDN,RDN,62917364.327,1.25411,50168936.0,1885440.0,-0.32%,-5.08%,-27.43%,Add to Watchlist
174,genaro-network,"
175
",GNX,GNX,62910916.1793,0.260774,241246888.798,1403690.0,1.13%,-2.55%,-29.34%,Add to Watchlist
175,jibrel-network,"
176
",JNT,JNT,61946880.0,0.387168,160000000.0,979243.0,0.33%,-8.97%,-23.87%,Add to Watchlist
176,medishares,"
177
",MDS,MDS,61910648.6209,0.0840321,736749987.455,3655000.0,-0.34%,7.74%,-16.70%,Add to Watchlist
177,dew,"
178
",DEW,DEW,59318951.4152,0.574548,103244552.962,102182.0,-3.84%,-4.52%,-27.56%,Add to Watchlist
178,ink,"
179
",INK,INK,58974625.7347,0.127125,463910526.92,4915180.0,0.40%,-20.32%,-32.80%,Add to Watchlist
179,ubiq,"
180
",UBQ,UBQ,58703654.9232,1.43182,40999325.979,70723.8,-0.68%,-5.90%,-27.20%,Add to Watchlist
180,crypterium,"
181
",CRPT,CRPT,58320640.1188,0.73911,78906576.9896,1097130.0,0.25%,-7.61%,-19.63%,Add to Watchlist
181,poet,"
182
",POE,POE,57750625.5234,0.0253623,2277026355.0,2634830.0,-0.87%,-9.36%,-33.23%,Add to Watchlist
182,apex,"
183
",CPX,CPX,56882725.1223,0.136441,416903461.0,901722.0,-1.39%,-1.92%,-31.22%,Add to Watchlist
183,bitcore,"
184
",BTX,BTX,56176936.769,3.61694,15531619.7584,438594.0,-0.29%,-3.93%,-4.83%,Add to Watchlist
184,cube,"
185
",AUTO,AUTO,55386824.6498,0.00882667,6274940000.0,741543.0,0.37%,-3.02%,-15.36%,Add to Watchlist
185,nav-coin,"
186
",NAV,NAV,55251434.5824,0.878582,62887055.03,7655500.0,0.22%,-6.00%,-23.41%,Add to Watchlist
186,bridgecoin,"
187
",BCO,BCO,55146420.0,2.04246,27000000.0,10956.9,-0.90%,-3.61%,-14.18%,Add to Watchlist
187,data,"
188
",DTA,DTA,54961458.0238,0.0118797,4626502186.4,11609000.0,-0.49%,-5.70%,-33.21%,Add to Watchlist
188,blockv,"
189
",VEE,VEE,54366724.6173,0.0281325,1932523757.84,125707.0,0.25%,-4.98%,-25.41%,Add to Watchlist
